F[C@@H](Cl)C(F)(F)OCCCl ZINC000002530678
COCCN(C(=O)CCl)C1=CCCCC1 ZINC000004206116
O=C(CCl)OCc1cc(=O)c(O)co1 ZINC000096180983
CCS(=O)(=O)CCBr ZINC000035327470
CCCCC[C@H]1CC[C@H](CBr)CC1 ZINC000263584022
CC(C)CC(=O)NNC(=O)[C@@H](C)Cl ZINC000062152027
ClCC[n+]1ccc2ccccc2c1 ZINC000001718819
COc1nnc(CCl)s1 ZINC000038342168
ClC[C@H]1CC(c2ccccn2)=NO1 ZINC000217845261
C[Si](C)(C)C#CCCCCl ZINC000169744009
COC(=O)c1cc(C)cnc1CBr ZINC000095642718
O=C1O[C@H](Br)c2cccc(F)c21 ZINC000169797485
CNC(=O)Cc1csc(NC(=O)CCl)n1 ZINC000043830408
C[C@@H]1Cc2cc(C(=O)CCl)ccc2O1 ZINC000004520189
CO[C@@](C)(CCl)CBr ZINC000157973113
O=C(CCl)n1c2c(c3ccccc31)CCCC2 ZINC000000506380
S=C=NCCBr ZINC000002528119
BrCC1(c2ccccc2)CCCC1 ZINC000049783337
CCCn1c([C@@H](C)Cl)nc2ccccc21 ZINC000036895957
Cc1ccc(NC(=O)OCCCl)cc1C ZINC000002167856
ClCSc1nc2ccccc2s1 ZINC000006118723
Cc1nc(N2CCCC2)ccc1CCl ZINC000072224508
C[C@@H](CCc1ccccc1)NC(=O)[C@H](C)Cl ZINC000002649926
FC(F)(F)[C@](F)(Cl)C(Cl)Cl ZINC000113342878
O=C(CCl)C1CCCCCC1 ZINC000039054867
CCN(C)C(=O)[C@@H](C)Br ZINC000019092805
F[C@@H]([C@@H](Cl)C(F)(F)F)C(F)(F)F ZINC000063457967
O=C1CCCc2cc(C(=O)CCl)ccc2N1 ZINC000011730077
BrCC/C=C/C1CC1 ZINC000002003975
Br[C@H]1CCCC12OCCO2 ZINC000044831756
CCn1nc(C)cc1CCl ZINC000072209563
C[C@@H](Cc1ccccc1)NC(=O)CCCl ZINC000002166762
CCN(C[C@@H](C)C#N)C(=O)CCl ZINC000037654216
O=S(=O)(O)[C@H](O)CCCCl ZINC000002567268
COCCC(=O)CCl ZINC000078210653
COc1ccc(C)cc1CCl ZINC000004206505
N#CC1(CCl)CCCC1 ZINC000034247256
C=CC[C@H](CBr)OC ZINC000197505229
CCCc1cc(CCl)on1 ZINC000012398326
C[C@@H](Cl)C(=O)NCCc1ccc(F)cc1 ZINC000003887364
O=C(CCl)N(CCO)Cc1ccccc1 ZINC000000157646
Cl[C@H]1OCCO[C@@H]1Cl ZINC000001640809
CN1Cc2cc(C(=O)CCl)ccc2NC1=O ZINC000034227150
CC(C)CO[C@H](C)c1nc(CCl)cs1 ZINC000043519559
O=C(CCl)N1CCSC1 ZINC000038282259
O=C1OC(=O)[C@@H]2C[C@H](Cl)C=C[C@H]12 ZINC000199437067
COC(=O)NC(NC(=O)OC)C(Cl)Cl ZINC000003013837
CCCCCNC(=O)C(Cl)Cl ZINC000001682731
O=C(CCl)O[C@H]1C[C@H]2C=C[C@H]1CCC2=O ZINC000257359211
O=[N+]([O-])c1cccc(/C=C/CCl)c1 ZINC000003121793
CC1(CCBr)N=N1 ZINC000095829687
COc1ccc(OCCCCCCCl)cc1 ZINC000002028801
CCOC(=O)c1cccc(NC(=O)CCl)c1 ZINC000001442070
O=C(CCl)N[C@@H](C1CCC1)C(F)(F)F ZINC001875375026
ClCCCc1ccccn1 ZINC000013208006
CC(C)S(=O)(=O)CCCCl ZINC000032007803
CC(=O)c1c(C)[nH]c(C(=O)[C@H](C)Cl)c1C ZINC000004218195
CC(C)(C)NC(=O)C1[C@H]2CC[C@H]1C2Cl ZINC000104100493
C[C@H](Cl)C(=O)N(CCC#N)C[C@@H]1CCOC1 ZINC001875363664
COc1ccc(C(=O)NC(=O)CCl)cc1 ZINC000003316206
O=C(CCl)NC1(Cc2ccccc2)CC1 ZINC001875378029
OCc1ccc(F)c(CBr)c1 ZINC000238726231
C[C@H](Br)C(=O)c1ccccc1 ZINC000000157478
BrCCOC1CCC1 ZINC000050520401
CC[C@@H](C)[C@H](C)Br ZINC000057940093
O=C(CCl)NCc1ccc2[nH]c(=O)[nH]c2c1 ZINC000006668463
CC(C)(C)OC(=O)C[C@H](O)C[C@H](O)CCl ZINC000045331547
CN(Cc1nccc2ccccc12)C(=O)CCl ZINC000079422067
CC1=NN=C(C)C1CCBr ZINC000095883390
COCc1nc(CNC(=O)[C@H](C)Cl)no1 ZINC001875367232
ClCCCCCO[C@H]1CCCCO1 ZINC000005133899
Br[C@@H]1CCCC[C@H]1[n+]1ccccc1 ZINC000000155455
FC(F)(F)[C@@](F)(Cl)C(Cl)Cl ZINC000113342877
CSc1nc(CCl)cc(=O)[nH]1 ZINC000003357030
CCN(CC)C(=O)CCBr ZINC000001733919
CN1C=CC(=C(C#N)C(=O)CCl)C=C1 ZINC000020281409
CC(F)(F)CCl ZINC000001847440
OC[C@H](O)COCCBr ZINC001083807980
CC[C@H](Cl)C(=O)c1ccc(F)cc1 ZINC000034560143
CN1CCC(N(C)CCCl)CC1 ZINC000040989853
C[C@H](CCl)[C@H](C)NC(=O)[C@@H]1CCCCS1 ZINC000228794149
O=S(=O)(Cl)CI ZINC000104549211
CC(C)(C)SCCCl ZINC000001691382
CCc1ccc(C#CCCCCl)cc1 ZINC000095632193
Cc1ncc(CBr)o1 ZINC000036533181
