CC(C)[C@@H](C(=O)O)c1cccc(F)c1 ZINC000036155943
CC(C)N(CC(=O)O)[C@H](C)c1ccc(F)cc1 ZINC000079421356
O=C(O)c1cncn1CC1CC1 ZINC000096517220
O=C(O)[C@@H]1C[C@@H]1c1ccc(F)c(F)c1F ZINC000218688798
CC(=O)NCCCC(=O)O ZINC000001529559
COc1cc(OC)c(C(=O)O)cn1 ZINC000083275191
NC(=O)CN(CC(=O)O)c1ccc(C=O)cc1 ZINC000584880172
Cc1n[nH]c(SCCC(=O)O)nc1=O ZINC000005988291
O=C(O)c1ccc2[nH]c(=O)oc2c1 ZINC000001652425
O=C(O)C[C@H](c1cccnc1)N1CCCC1 ZINC000032918877
O=C(O)c1ccc(-c2cccc([N+](=O)[O-])c2)s1 ZINC000008729732
CC[C@H](C)N1CCN(C(=O)C(=O)O)CC1 ZINC000002456676
O=C(O)C[C@H](c1ccccc1F)C(F)F ZINC000258722855
O=C(O)Cc1ccccc1S(=O)(=O)O ZINC000060037079
CC(=O)Nc1cc(O)cc(C(=O)O)c1 ZINC000013352644
O=C(O)c1cccc(C(F)(F)F)c1 ZINC000002504353
O=C(O)[C@@H]1CC(=O)N(C[C@@H]2CCCO2)C1 ZINC000001985781
C[C@@H]1[C@H](C(=O)O)CCCN1C(=O)OC(C)(C)C ZINC000002527157
O=C(O)/C=C/c1ccc2ccccc2n1 ZINC000000106339
CC1(C)OC(C)(C)c2cc(C(=O)O)ccc21 ZINC000096171764
O=C(O)/C=C\C(=O)NC1CC1 ZINC000026478499
O=C(O)CCc1noc(-c2ccccn2)n1 ZINC000019682310
O=C(O)c1ccccc1NC(=O)C(F)(F)F ZINC000000097688
O=C(O)CS(=O)(=O)Cc1ccccc1 ZINC000001713408
CN(CC(=O)O)CC(=O)c1ccco1 ZINC000079421876
CC1(C)[C@@H](C(=O)O)[C@@H]1C(=O)Nc1ccccn1 ZINC000071287674
O=C(O)c1ccncc1-c1ccc(O)cc1 ZINC000065347118
O=C(O)c1cnccc1-c1cc(F)ccc1F ZINC000065355755
C[C@@]1(c2cc(F)ccc2F)C[C@@H]1C(=O)O ZINC000049815099
C[C@@H]1CCC[C@@]1(NC(=O)OC(C)(C)C)C(=O)O ZINC000086678880
O=C(O)CN1c2ccccc2Oc2ccccc21 ZINC000001436278
O=C1C[C@@H]2[C@@H](C(=O)O)[C@H]3CC[C@@]2(CO1)O3 ZINC000247413828
Cc1cc(F)cc(CCC(=O)O)c1 ZINC000038530039
O=C(O)C1(Oc2cccc(F)c2)CC1 ZINC000263625045
O=C(O)CC1=C(c2ccc(F)cc2)CCC1=O ZINC000000104558
O=C(O)c1cnn(Cc2ccccc2)c1 ZINC000002559736
O=C(O)CN1CCC(CO)CC1 ZINC000036882939
Cc1nc(=O)n2c(C)n[nH]c2c1C(=O)O ZINC000001617951
O=C(O)C[C@@H]1CCC[C@@H](c2ccccc2)C1=O ZINC000000276950
Cc1cc(O[C@@H](C)C(=O)O)ccc1C(C)C ZINC000011958131
O=C(O)Cc1ccc2ccccc2c1 ZINC000000065317
O=C(O)CCNC(=O)/C=C/c1ccccc1F ZINC000032919850
O=C(O)c1cc(F)c(F)c(F)c1[N+](=O)[O-] ZINC000100904149
O=C(O)Cc1c[nH]ccc1=O ZINC000088189867
O=C(O)C[C@@H](NC(=O)c1ccco1)c1ccco1 ZINC000004717915
Cc1cnn(-c2c(C(=O)O)c(C)nn2C)c1 ZINC000037677474
CCOc1c(OC)cc(C#N)cc1C(=O)O ZINC000006702984
O=C(O)c1c(F)ccc2c1OC(F)(F)O2 ZINC000034521047
Cc1csc2sc(/C=C/C(=O)O)c(C)c12 ZINC000005218859
CCOc1ccc2c(c1)C=C(C(=O)O)CO2 ZINC000020284858
COc1ccc(C2(C(=O)O)CC3(CCC3)C2)cc1 ZINC000086544437
O=C(O)c1cccc(=O)n1O ZINC000038220309
CCc1onc(-c2nccs2)c1C(=O)O ZINC000675057906
COC(=O)[C@@H]1CO[C@H](C(=O)O)C1 ZINC000217908528
CC(C)Cc1ccc(C(=O)O)cc1 ZINC000001673971
N#CC[C@H](Cc1ccccc1)C(=O)O ZINC000137944731
O=C(O)c1ccc2n[nH]c(=O)n2c1 ZINC000070162297
Cc1ccc(C)c(-c2noc(CCC(=O)O)n2)c1 ZINC000075817329
O=C(O)C1CCN(C(=O)C2CCCC2)CC1 ZINC000013167037
O=C(O)[C@H](CO)/N=C(\O)OCc1ccccc1 ZINC000082067921
C=CCOC[C@H](NC(=O)OC(C)(C)C)C(=O)O ZINC000002243545
O=C(O)CCSc1nc2ccccc2[nH]1 ZINC000000122660
Cc1cccc(C(=O)O)c1CC(=O)O ZINC000032189562
COCc1ccc(C(=O)CCC(=O)O)cc1 ZINC000015422846
C=CCC1(C(=O)O)CCCCC1 ZINC000039259280
CCc1oc(C2CCOCC2)c(C)c1C(=O)O ZINC000958527784
O=C(O)c1nccnc1-n1ccnc1 ZINC000016124602
O=C(O)[C@H]1CCCCC[C@@H]1C(=O)O ZINC000071255837
Cc1c(F)cccc1NC(=O)C1(C(=O)O)CC1 ZINC000050292700
O=C(O)c1ccnn(C[C@H]2CCCO2)c1=O ZINC000225793555
C[C@H]1C=C[C@@H](C)[C@@H](C(=O)O)[C@H]1C(=O)O ZINC000004566529
Cc1ccc2c(=O)n(C)c(=O)n(CC(=O)O)c2c1 ZINC000725261630
C#Cc1cc(F)ccc1C(=O)O ZINC000211407032
CCOc1ccc([N+](=O)[O-])cc1CC(=O)O ZINC000003750871
C#Cc1cccc(C(=O)O)c1 ZINC000027838115
C[C@@H](Sc1ncnc2nc[nH]c12)C(=O)O ZINC000006381964
O=C(O)CSc1ncccc1C(=O)O ZINC000000156729
O=C(O)CCC(=O)[C@H]1CCCCC1=O ZINC000019864991
Cc1cc(C(=O)O)n2nc(C(F)(F)F)nc2n1 ZINC000020216527
C[C@@H]1CCC[C@@H](C(=O)O)N1C(=O)OC(C)(C)C ZINC000091304385
O=C(O)Cc1ccc(O)c(C(F)(F)F)c1 ZINC000141858524
Cc1nc2ccccc2n1[C@H](C(=O)O)C(C)C ZINC000019410821
Cc1ccc2c(c1)C[C@@H](CC(=O)O)O2 ZINC000019946492
Cc1ccc(F)c(-n2cc(C(=O)O)nn2)c1 ZINC000020471976
O=C(O)c1cc(C(F)(F)F)n(CC2CCC2)n1 ZINC000255190562
COc1ccccc1[C@H](C)CC(=O)O ZINC000020259991
CCN(CCC(=O)O)c1ccccc1OC ZINC000020133809
O=C(O)c1cnc(-c2ccncn2)nc1 ZINC000069639989
CC(C)(C)OC(=O)[C@H]1C[C@@H](C(=O)O)C1(C)C ZINC000114925952
O=C(O)/C=C/c1ccccc1Oc1ccccc1 ZINC000000167431
CC(=O)OC1(C(=O)O)CCCCC1 ZINC000001867187
O=C(O)c1ccc(CS)cc1 ZINC000003888596
Cn1cc(C(=O)O)c(C(=O)NCc2ccn[nH]2)n1 ZINC000012358007
CCC(=O)N1CSC[C@H]1C(=O)O ZINC000019423084
Cc1c(C(=O)O)n[nH]c1OCC(=O)N(C)C ZINC000072209331
O=C(O)COc1ccccc1-c1nnn[nH]1 ZINC000004789163
O=C(O)[C@@H]1CCCN([C@H]2CCSC2)C1 ZINC000100930406
CN1C[C@H](c2cccc(F)c2)[C@@H](C(=O)O)C1 ZINC000225608051
Cc1nc2c(c(O)nn2C)c(C)c1CCC(=O)O ZINC000032627238
CC[C@@H](C(=O)O)n1cc(C(C)=O)c2ccccc21 ZINC000016474936
O=C(O)CN1C[C@H]2CC[C@@H]1C2 ZINC000019093620
Cc1ncc(C(=O)O)cc1C#N ZINC000040447938
NC(=O)Cc1nc(CC(=O)O)cs1 ZINC000072220807
O=C(O)C1=CCCCc2ccccc21 ZINC000000367639
COC(=O)N[C@H](C(=O)O)C(C)(C)C ZINC000016698174
O=C(O)CC[C@H]1CCCc2ccccc21 ZINC000019908785
CC1=NN(CC(=O)O)C(=O)C1 ZINC000019089046
CCCC[C@H]1CC(=O)N[C@H]1C(=O)O ZINC000004897371
O=C(O)[C@@H]1C[C@@H]1c1ccco1 ZINC000020380930
Cc1nc(O)cc(N2CCC(C(=O)O)CC2)n1 ZINC000163055656
CS(=O)(=O)c1ccc([N+](=O)[O-])c(C(=O)O)c1 ZINC000059269089
Cc1cc(C)nc(SCC(=O)O)n1 ZINC000000155563
O=C(O)CCc1noc(C2CCOCC2)n1 ZINC000258812410
CC(=O)Nc1ccc(C(=O)O)cc1F ZINC000063008827
COCC1(C(=O)O)CCC1 ZINC000021953279
CSc1nc2ccccc2n1[C@@H](C)C(=O)O ZINC000013609078
