O=Cc1cc(Cl)c(=O)n(Cc2ccccc2)c1 ZINC000029753700
O=C(Cl)COc1cccc(Br)c1 ZINC000026470334
CC(C)c1cc(Br)ccc1CO ZINC000208356762
N#Cc1cc(Br)c2n[nH]nc2c1 ZINC000095496069
Cc1c(Br)ccc(O)c1[N+](=O)[O-] ZINC000039392141
Cc1c(Br)cccc1C=O ZINC000038866582
O=C1CCc2c(Br)cccc2N1 ZINC000067176151
Ic1cccc2c1OCO2 ZINC000040443191
Fc1cccc(N=C=S)c1Br ZINC000169170128
CCC(=O)c1ccc(Br)nc1 ZINC000072225029
FC(F)c1nc(Br)cs1 ZINC000215718376
O=Cc1c(O)cccc1Br ZINC000040442708
O=c1[nH]cc(Br)c2ccc(F)cc12 ZINC000096835775
CCCCOc1ccc(Br)cn1 ZINC000042389865
Oc1ccc(Cl)c(Br)c1F ZINC000200652174
COc1ccc(C)nc1Br ZINC000005041157
Cn1ccc2nccc(Br)c21 ZINC000082326525
Cc1ccc(-n2cc(Br)cn2)cc1 ZINC000015021152
Brc1nc(C2OCCO2)cs1 ZINC000139543546
FC(F)c1cccnc1Br ZINC000073641038
Brc1cscc1-c1ccccc1 ZINC000000480726
N#CCc1c[nH]c2ccc(Br)cc12 ZINC000026894206
C=Cc1cc(F)c(F)cc1Br ZINC000258827955
OCc1cc(Cl)c(Br)cn1 ZINC000079048079
Cc1occc1Br ZINC000012370514
Cc1cc(C=O)c(Cl)nc1-c1ccccc1 ZINC000090668815
CC(C)(C#N)c1cccc(Br)c1 ZINC000037934443
N#CCc1cc(Br)c(O)cc1F ZINC000097446546
Clc1cncc2c(Br)n[nH]c12 ZINC000095099743
C[C@H](O)/C=C/c1ccc(Br)cc1 ZINC000038841436
COc1ccc(C)cc1Br ZINC000000403240
CC(=O)c1c(O)cc(Br)cc1F ZINC000095642959
Cc1c(Cl)cc(Br)cc1Cl ZINC000080086969
Brc1n[nH]c(-c2cccnc2)n1 ZINC000040162920
CC(=O)c1cc(O)ccc1Br ZINC000072232945
Cc1cc(Br)cn2c(CO)cnc12 ZINC000034458185
Cc1cc(F)c(S)c(Br)c1 ZINC000036533072
O=Cc1c(Cl)cccc1[N+](=O)[O-] ZINC000002567952
N#Cc1cccc(Br)c1 ZINC000000404307
Cc1ccc2c(Br)cnn2c1C ZINC000238514174
CNC(=O)c1ccc(OC)c(Br)c1 ZINC000009818433
Cc1ccc2c(Br)nsc2n1 ZINC000195973095
N#Cc1ccc(Br)[nH]1 ZINC000082046601
FC(F)=Cc1ccc(Br)cc1 ZINC000071791192
[O-][n+]1cc(Br)cc(CO)c1 ZINC000072220874
COc1ccc(F)nc1Br ZINC000226105288
O=Cc1ccc(OC[C@H](O)CO)c(Cl)c1 ZINC000114893612
Cc1c[nH]c2c(Br)cc(F)cc12 ZINC000044460302
Fc1nc(C(F)(F)F)ccc1Br ZINC000036533688
Oc1cccc2scc(Br)c12 ZINC000114830821
COc1cnn(C)c(=O)c1Br ZINC000039119260
COc1cc(C=O)cc(Br)c1S ZINC000669371954
C=CCNC(=O)c1ccc(Br)cc1 ZINC000002967066
CO/C=C\c1ccc(Br)cc1 ZINC000083290882
CCc1sc(C=O)cc1Br ZINC000002573225
Cc1nc(-n2cnnn2)ccc1Br ZINC000096529949
Cc1ccc(C(F)F)c(Br)c1 ZINC000215839901
O=C1Nc2cccc(Br)c2[C@@H]2C[C@H]12 ZINC000091692567
Brc1ncc[nH]1 ZINC000002577854
O=Cc1cccnc1Cl ZINC000000168332
Cc1c(Cl)ccc(C=O)c1O ZINC000143170864
CC(=O)c1cc(Br)cc(Cl)c1O ZINC000002581720
Brc1coc2ccncc12 ZINC000032302097
Fc1nc(OCC2CC2)ccc1Br ZINC000261493991
C[C@@H](O)c1nc2cc(Br)ccc2[nH]1 ZINC000011535782
O=Cc1cc(Cl)ccc1OC[C@@H]1CCCO1 ZINC000036805070
OCc1cc(F)cc(Br)c1F ZINC000095930420
COC(=O)Cc1cc(F)cc(Br)c1 ZINC000116520890
NC(=O)c1nc(Cl)ccc1Br ZINC000085224278
O=Cc1cn(C2CCCC2)nc1Br ZINC000408717847
CSc1ccc(Cl)cc1Br ZINC000090413339
Oc1c(Cl)ccc(Br)c1Cl ZINC000090411257
Clc1cccnc1I ZINC000014982408
Oc1c(F)ccc(Br)c1Cl ZINC000140032010
Cn1cc(-c2ccc(Br)cn2)cn1 ZINC000085390733
Oc1cccc2c(Br)ccnc12 ZINC000001856922
Fc1ccc2[nH]cnc2c1Br ZINC000075759726
N#Cc1cncc(Br)n1 ZINC000040448309
CC(=O)c1cc(Br)cnc1F ZINC000032914804
Brc1c2c(nc3ccccc13)CCC2 ZINC000066340354
Brc1ccc(N2CCCCC2)cn1 ZINC000044121157
Cc1ccn2c(=O)c(C=O)c(Cl)nc2c1 ZINC000038478274
COC(=O)c1c(Br)cccc1C=O ZINC000146057412
Cc1ccc(Cl)nc1Br ZINC000044787404
N#CCc1ccc(Br)cc1Cl ZINC000083593248
CC(C)C1=Cc2cccc(Br)c2C1 ZINC000147440879
CCC(=O)[C@@H](C)c1cccc(Br)c1 ZINC000086161733
Fc1cc(Cl)c(Cl)c(Br)c1 ZINC000063339607
O=C(CO)c1cc(Br)ccc1F ZINC000084517364
CC1(C)CCc2nc(Br)sc2C1 ZINC000096983894
Cn1c(Cl)c(C=O)c(C=O)c1-c1ccccc1 ZINC000001391394
Cc1ncc(Br)cc1Cl ZINC000021993119
O=c1[nH]cnc2[nH]cc(Br)c12 ZINC000016925223
CCn1ncc(C#N)c1Br ZINC000218306459
O=C1OCOc2ccc(Br)c(F)c21 ZINC000258839862
Cn1ccc2ccnc(Br)c21 ZINC000238552115
Clc1cccc(Br)n1 ZINC000002556257
Cc1nc(Br)c2n1CCCC2 ZINC000083989894
FC(F)(F)c1ccc(Br)nc1 ZINC000000166552
Cc1ncc(Br)c2cc[nH]c12 ZINC000089213006
CC(=O)CCCc1ccc(Br)cc1 ZINC000041284575
Cc1ccc(Br)c([N+](=O)[O-])c1F ZINC000261493720
O=[N+]([O-])c1c[nH]nc1I ZINC000095930396
O=Cc1cc2ccc(Br)cc2s1 ZINC000044154648
COC(=O)c1nc(Br)ccc1O ZINC000079052356
O=c1[nH]c(=O)c2cc(Br)ccc2[nH]1 ZINC000000341758
O=Cc1cn2cc(Br)ccc2n1 ZINC000019767915
O=Cc1cccc2c(Br)cccc12 ZINC000003080772
Fc1ccc(Cl)c(Br)c1Cl ZINC000085210471
CCCC(=O)c1ccc(Br)s1 ZINC000001596534
COC(=O)c1nn[nH]c1Br ZINC000095635415
CC(=O)c1coc2ccc(Br)cc12 ZINC000083132506
CC(C)(C)Cc1ccccc1Br ZINC000116863899
CCCOCC(=O)n1cc(Br)nn1 ZINC000261509036
N#Cc1ncc(Br)cc1Cl ZINC000044790322
Cc1ccc(C)c(I)c1 ZINC000001672848
O=C=Nc1ccc(Br)nc1Cl ZINC000242687486
