Cc1cc([C@H]2CCCN2CC(C)C)cnc1N ZINC000072218444
C[C@H](N)c1cnn(-c2ccccc2)c1 ZINC000002559645
CN(C)C(=O)[C@@H](N)c1ccccc1 ZINC000095864182
CC[C@H](N)c1ccc(OC2CCCC2)cc1 ZINC000022219364
CCOC(=O)c1ccccc1O[C@@H]1CCNC1 ZINC000042775534
CN[C@H]1CCCc2c(O)cccc21 ZINC000005574788
c1c2c(cc3c1OCCO3)CNCC2 ZINC000011597015
Cc1ccc(C(=O)N2CCNCC2)o1 ZINC000020248621
CCCCc1cccc(N)c1 ZINC000005315703
Cn1nc2c(c1O)CNCC2 ZINC000105724664
NC[C@@H]1CCCC[C@H]1F ZINC000095829072
C#CC[C@@H](N)c1ccccc1 ZINC000012336865
Cc1cc(N)ccc1Oc1ccc(F)cc1F ZINC000014630587
NCCc1noc([C@H]2CCCO2)n1 ZINC000041062014
O=c1nc(Cc2ccccc2)[nH]c2c1CNC2 ZINC000042784277
CCCCCN1C[C@@H]2C[C@H](CN[C@@H]2C)C1 ZINC000242575085
Cc1c(N)[nH]c(=O)[nH]c1=O ZINC000002020172
Cn1cc(CN)c(-c2ccccc2)n1 ZINC000020444031
Cc1cc([C@@H]2CCCCN2)ccn1 ZINC000072219469
CC(C)C[C@H]1CN2CCC[C@H]2CN1 ZINC000023363475
COC(=O)[C@H](N)Cc1cc(=O)[nH]c2ccccc12 ZINC000039614624
C[C@H]1CNCCOC1 ZINC000074535960
C[C@H](CCN)c1ccccc1 ZINC000011629489
CCCCN[C@H]1CCC[C@H]1N ZINC000218888048
CCOCCCNCc1cccs1 ZINC000008253215
CCS(=O)(=O)C[C@H]1C[C@]1(CN)COC ZINC000096525642
CC[C@H](C)NCC(=O)Nc1cccc(C)c1C ZINC000003887677
COc1cccc(CNC2CCNCC2)c1 ZINC000038041463
NCCn1nc2c(cc1=O)CCC2 ZINC000095097580
CC1(C)[C@@H](N)CC[C@@H]1CCN ZINC000225752681
NCCN1C(=O)c2cccc3cccc(c23)C1=O ZINC000029395077
CC[C@H](C)CC[C@H](C)N ZINC000044463403
COC(=O)c1cccc([C@@H](N)CO)c1 ZINC000072197722
C[C@@H]1CCCCN1S(=O)(=O)N1CCNCC1 ZINC000020247310
C=CCNCCNCC=C ZINC000019366519
CC(=O)Nc1ccc([N+](=O)[O-])c(N)c1 ZINC000004115602
c1ccc2c(c1)CCN([C@H]1CCCNCC1)C2 ZINC000043214552
C[C@@H]1CC[C@H](O)[C@@H]([C@H]2CCCCN2)C1 ZINC000238854667
C[C@H]1CCCN(C[C@@H]2CCCCCN2)C1 ZINC000039706399
CC[C@@H](C)N1CC[C@H](CN)C1 ZINC000034679230
C[C@@H](N)COc1ccc(F)cc1 ZINC000013566374
CC[C@@H](C)NC(=O)[C@@H](N)C(C)C ZINC000019478750
CCCC[C@@H]1CNCCN1C(=O)OC(C)(C)C ZINC000022114002
CC[C@@H](N)c1ccc(NC2CC2)nc1C ZINC000072224861
Nc1ccc2c(c1)nc1n2CCN(CCO)C1 ZINC000035324849
CC1(C)[C@H]2CC[C@@]1(C)[C@@H](N)[C@H]2N ZINC000242538736
NC(=O)[C@H]1CCCN[C@@H]1C(F)(F)F ZINC000252487302
N#CC1(CN)COC1 ZINC000238612985
N[C@@H](CCc1ccccc1)c1cnccn1 ZINC000037467150
CN[C@H](C)CC(C)(C)NC ZINC000098209776
Nc1ncccc1[C@@H]1CCCN1 ZINC000072212402
CN[C@H]1CN(C(=O)OC(C)(C)C)CC[C@]1(C)O ZINC000685936404
COC(=O)[C@@H](c1ccccc1)C(C)(C)N ZINC000536952595
CC(C)n1cc([C@H]2C[C@H]2N)cn1 ZINC000096509216
