O=C(O)C#Cc1ccc(Br)cc1 ZINC000000345422
Cc1cc([N+](=O)[O-])c(CC(=O)O)cc1Cl ZINC000095495545
COc1c(C(=O)O)ccc(F)c1Br ZINC000214488321
Cc1nc(O)c(C(=O)O)cc1Cl ZINC000034225584
Cc1sc(Br)nc1C(=O)O ZINC000081990511
N[C@@]1(C(=O)O)CCOc2ccc(Cl)cc21 ZINC000036142167
Cc1cnc(N2CC(C(=O)O)C2)nc1Cl ZINC000072203827
O=C(O)c1cc(-c2ccccc2)cnc1Cl ZINC000034225582
O=C(O)Cc1coc(-c2ccc(Cl)cc2)n1 ZINC000019723050
CN1C[C@@H](C(=O)O)[C@H](c2ccccc2Cl)C1 ZINC000075948583
O=C(O)[C@H]1C[C@@H]1c1ccc(Br)s1 ZINC000037380510
O=C(O)/C=C/c1ccc(Cl)c([N+](=O)[O-])c1 ZINC000000056679
O=C(O)CCC(=O)c1cc(Cl)cc(Cl)c1 ZINC000002378657
Nc1c(Cl)cc(F)cc1C(=O)O ZINC000020475944
O=C(O)c1ccc(O)c(Cl)n1 ZINC000039128256
O=C(O)c1nc(-c2ccccc2Cl)ns1 ZINC000082327349
COc1nccc(Br)c1C(=O)O ZINC000238422444
O=C(O)c1cccn2c(Cl)cnc12 ZINC000035270069
O=C(O)c1c(Cl)ccc2cc(Cl)cnc12 ZINC000000336447
O=C(O)c1[nH]nc(C2CC2)c1Cl ZINC000044242604
CN(CCC(=O)O)Cc1ccc(Cl)cc1 ZINC000032015461
O=C(O)c1c[nH]c(=O)c(Br)c1 ZINC000000170119
Cc1onc(-c2ccc(Cl)o2)c1C(=O)O ZINC000675057572
O=C(O)CCn1cc(Cl)c(C(F)(F)F)n1 ZINC000002537070
Nc1cc(Cl)c(CC(=O)O)cc1F ZINC000228906850
O=C(O)c1c(O)cnc2cc(Cl)ccc12 ZINC000084122382
N#Cc1c(F)cc(C(=O)O)cc1Br ZINC000263625031
O=C1C[C@@H](C(=O)O)[C@@H](c2cccc(Cl)c2)O1 ZINC000085394744
O=C(O)[C@@H]1Cc2cc(Cl)ccc2N1 ZINC000015635449
NC(=O)Nc1cc(Cl)ccc1C(=O)O ZINC000022144557
Cc1cccc(Br)c1C(=O)O ZINC000002574305
O=C(O)c1cccc(Cl)c1Cl ZINC000000157872
O=C(O)[C@H]1CNC[C@H]1c1cccc(Cl)c1 ZINC000056958664
Cc1ccc(Cl)c(C(N)=O)c1C(=O)O ZINC000227158392
O=C(O)c1sc(Cl)cc1OC(F)F ZINC000096510910
Cc1oc(Br)nc1C(=O)O ZINC000075842716
O=C(O)c1ccc(Cl)cc1N1CCOCC1 ZINC000042684484
O=C(O)C1CN(c2ncc(Cl)cn2)C1 ZINC000072203872
CC(=O)N[C@H](CC(=O)O)c1cccc(Cl)c1 ZINC000012647889
Nc1cncc(Cl)c1C(=O)O ZINC000095763849
O=C(O)c1cc(O)n(-c2ccccc2Cl)n1 ZINC000033606245
O=C(O)c1c(Cl)cccc1NC(=O)C1CC1 ZINC000082563552
Cc1csc(Cl)c1C(=O)O ZINC000034089284
