O=Cc1cc(CCl)cs1 ZINC000001296251
COC[C@@H](Br)C(F)(F)F ZINC000002525248
O=CC(Cl)(Cl)CCCl ZINC000002512295
COC(=O)c1cc(CBr)nn1C ZINC000147794235
CCN(Cc1cccc(C#N)c1)C(=O)CCl ZINC000079420765
CC[C@@H](Br)C(=O)N1CCCC[C@@H]1C ZINC000014807078
CC(=O)[C@@H](Cl)c1cccc(C(F)(F)F)c1 ZINC000022013054
CC(C)n1ncc2c1CC[C@H](Cl)C2 ZINC000575425794
C[C@@H](c1cccs1)[C@@H](C)Br ZINC000085664873
F[C@@H]1CCCC[C@@H]1Br ZINC000063148563
COc1cccc(CN(C)C(=O)[C@H](C)Cl)n1 ZINC001875366563
FC(F)C1(CBr)CCC1 ZINC000584879998
CCc1ccc(NC(=O)CBr)cc1 ZINC000041714193
COC(=O)c1cc(CCl)ccc1F ZINC000091294535
CC(C)(C)OC(=O)N1CC[C@H](CCl)C1 ZINC000066339252
CCCN(CCC)C(=O)[C@H](Cl)CCl ZINC000101368541
CCS(=O)(=O)CCCCCBr ZINC000070051429
CCCc1noc([C@H](C)Br)n1 ZINC000096511374
