N#CCCNCc1ccco1 ZINC000002559209
C=CCNCc1cnc(SC)nc1 ZINC000062717223
Nc1cc(SC(F)(F)F)ccc1O ZINC000091252810
CC(C)[C@@H](C)NCc1ccc(C#N)cc1 ZINC000020317204
CC1CCN(CC[C@H](N)C(C)C)CC1 ZINC000058058365
Cn1c(-c2ccc(N)cc2)n[nH]c1=S ZINC000017744330
COC(=O)C(C(=O)OC)c1ccc(N)cc1 ZINC000002513384
Nc1cnc(OC(F)(F)F)nc1 ZINC000225769201
CCN(C)C(=O)[C@H]1CCCN1 ZINC000037023365
O=C(C1CCCCC1)N1C[C@H]2CCN[C@H]2C1 ZINC000096054100
CCCCNC[C@H](C)C(=O)OC ZINC000002044955
CCc1ccc(CCC=O)cc1N ZINC000165799403
N[C@@H]1C[C@H]1S(=O)(=O)c1ccccc1 ZINC000217982126
CNC(=O)c1ccc(CN)o1 ZINC000033414619
Cc1cc(N)ncc1[C@@H]1CCCN1CC(C)C ZINC000072218503
CCNC[C@H]1CCCCN1C(C)=O ZINC000079437363
CC(C)c1nncn1CCN ZINC000068576230
CNC[C@H]1C[C@@H]1CN ZINC000096509434
Cc1ccc2c(c1)C[C@H](CN)CN2C ZINC000082888889
Fc1ccc(CO[C@H]2CCCNC2)cc1 ZINC000014631599
CC[C@H](N)c1ccc(N2CCNCC2)nc1 ZINC000072225514
COC(=O)[C@@H]1C[C@@H](C2CCCCC2)CN1 ZINC000071790828
CC[C@@H](C)N[C@H](C)c1ccc(C)o1 ZINC000019882276
Nc1ccc2c(c1)CC(=O)N2CC1CC1 ZINC000070256570
CC(C)[C@H](F)C1CCNCC1 ZINC000107258004
COc1cccc([C@@H]2CNC[C@H]2CO)c1 ZINC000105639865
CCOC[C@@H]1CNCc2c1cnn2C ZINC000306141887
NCC12C3C4C1C1C2C3C41F ZINC000329780368
NCCON ZINC000005380679
CS(=O)(=O)Nc1ccnn1CCN ZINC000077011004
C[C@@H]1CNCC[C@@H]1c1ccccc1 ZINC000034113767
Nc1cnc(OC2COC2)nc1 ZINC000085664527
CCN(CCN)Cc1ccccc1C#N ZINC000079420158
Cc1ccc(CC[C@H](N)C(F)(F)F)cc1 ZINC000036456576
CCCC[C@@H](CC)CN1CCNC[C@@H]1C ZINC000054374671
Cc1cccc([C@H](N)C2CC2)n1 ZINC000042383756
CN(C)C(=O)COCc1cccc(N)c1 ZINC000072220906
c1ccc2c([C@H]3CCCCCN3)cccc2c1 ZINC000003734971
NCC1CCN(C(=O)OCc2ccccc2)CC1 ZINC000002585677
CCNC(=O)c1ccc(N[C@H](C)CC)c(N)c1 ZINC000213354125
COC(=O)c1cc(N)ccn1 ZINC000005355356
Cc1ccc([C@@H](N)c2ccccn2)c(C)c1 ZINC000011737325
N[C@@H](CCN1CCCC1)c1ccccc1 ZINC000020071407
CCc1cccc(NC(=O)C2CCNCC2)c1 ZINC000019408740
O=C1CN(C(=O)[C@@H]2CCCNC2)CCN1 ZINC000019411123
NCC1[C@H]2CN(Cc3ccccc3)C[C@H]12 ZINC000101016107
Nc1cnccc1N1CC[C@H](O)C1 ZINC000061709365
N[C@@H](CO)C(c1ccccc1)c1ccccc1 ZINC000034745015
C[C@@H]1CN(Cc2ccc(C#N)cc2)CCN1 ZINC000083813972
OC[C@@H]1CNC[C@@H]1c1ccsc1 ZINC000078374123
CCCCNC(=O)CN1CCNCC1 ZINC000019976550
CC[C@H](N)C12C[C@H]3C[C@@H](CC(O)(C3)C1)C2 ZINC000100157551
F[C@@H]1C[C@H]2CNCCN2C1 ZINC000039957300
NCc1cccc(C(=O)Nc2ccccc2)c1 ZINC000019722459
CSc1ccc(N)nn1 ZINC000015021754
CCc1nc2cc(CN)ccc2n1C1CC1 ZINC000062213985
CN[C@@H](C#N)c1cc(F)c(F)c(F)c1 ZINC000062711882
CC(C)(C)OC(=O)N1CCC[C@H](NC2CC2)C1 ZINC000043323577
CO[C@@](C)(CN)C(C)C ZINC000085099852
NCc1ccc(NC(=O)c2ccc(F)cc2)cc1 ZINC000020224327
Fc1ccc2c(c1)CCC[C@@]21COCCN1 ZINC000306145608
COc1ccc(CN)cc1C(F)(F)F ZINC000039712994
CCNCc1cn(C)nn1 ZINC000054858339
NC[C@@H](CN1CCCC1)[C@H](O)c1ccccc1 ZINC000020283105
Nc1nc(N)nc(-c2nonc2N)n1 ZINC000002241178
c1cc2c3c(c1)CCNC[C@H]3CCC2 ZINC000027712432
CC[C@H](C)c1ccc(OC2CCNCC2)cc1 ZINC000014631941
Nc1nc(O)nc(C23CC4CC(CC(C4)C2)C3)n1 ZINC000012362961
CNC[C@H](N)c1ccccc1 ZINC000040409078
c1ccc(SCC[C@@H]2CCCCN2)cc1 ZINC000008039529
CCOC(=O)/C=C1/CCNC1 ZINC000042784358
c1ccc2c(c1)CCC[C@H]2NC1CC1 ZINC000019426412
NCC1(c2c(F)cccc2F)CC1 ZINC000040447856
CC(=O)c1ccc(CC(C)(C)NCC(C)C)cc1 ZINC000096027986
CC(C)(CN)c1ccc(C(F)(F)F)cc1 ZINC000020357677
N[C@H](CO)c1cccc2ccccc12 ZINC000012404592
O=S1(=O)CCN(C2CCNCC2)CC1 ZINC000035732156
